Код раздела,Название раздела,Всего основных фондов,Здания,Машины и оборудование,Сооружения,Транспортные средства
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",12659741.833333334,0.34161890966642233,0.3260608902989695,0.1259207703658098,0.0617507346658755
B,Добыча полезных ископаемых,42000380,0.06951942097957725,0.1855041540177056,0.700052654814796,0.026975802439042185
C,Обрабатывающие производства,40131529.333333336,0.21685810474119693,0.4950248740402383,0.2311762682895091,0.029703795885710593
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",29250986.666666668,0.15639352009923754,0.3416875766222031,0.4630224109720084,0.011452763959653106
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",5519033.166666667,0.12211820886446366,0.11483657353236541,0.7123060864409778,0.03649038775757224
F,Строительство,4599606.333333333,0.2048527764478896,0.34471182164295344,0.23052684763871067,0.1674453235491654
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,7363811.833333333,0.4554517361256661,0.25518789094034494,0.16578821276295685,0.06576786616462908
H,Транспортировка и хранение,82763020.66666667,0.0681819958290228,0.1278414891091768,0.6894336957433299,0.1085650500962948
I,Деятельность гостиниц и предприятий общественного питания,2738810.1666666665,0.6177179566818493,0.16373490897483098,0.1423558255707638,0.02336064867010003
J,Деятельность в области информации и связи,8944900,0.08626508823023556,0.5302332378108676,0.2282846004141018,0.013575691553515434
K,Деятельность финансовая и страховая,6195783.333333333,0.32608878259999224,0.26497041437985613,0.07291080670109924,0.20840489853639846
L,Деятельность по операциям с недвижимым имуществом,148675575.66666666,0.935302661921204,0.016641127609885672,0.03537684751947424,0.004564812849474708
M,"Деятельность профессиональная, научная и техническая",10370225.333333334,0.2782228476440619,0.28417429542815104,0.3387877571272737,0.04176019506232844
N,Деятельность административная и сопутствующие дополнительные услуги,4343473,0.23342354993436706,0.22114698335639274,0.2905888596035953,0.21589616184937757
O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,32983616.666666668,0.2825354607868158,0.13132886056843315,0.37691672604581256,0.049908039984328155
P,Образование,14350854.166666666,0.6936988133033594,0.1679636336100729,0.06173648908588004,0.026879690183694554
Q,Деятельность в области здравоохранения и социальных услуг,12133824.833333334,0.4813902231392473,0.4335947350460321,0.0332766966218063,0.032403092960280225
R,"Деятельность в области культуры, спорта, организации досуга и развлечений",6216339,0.612605356043907,0.14684043088491813,0.15659413356524057,0.01828868917052281
S,Предоставление прочих видов услуг,1117263.1666666667,0.42788894688216694,0.2591708426829397,0.19504107803208184,0.06158510445139057
